,,Stock Level,,,,,,,,
 ,,,,,,,,,,
,,,,,,,,,,2023 09:24:14
Barcode,Stock Code,Description,Supplier,,Location,,On Order,Reserved,On Hand,
A,,CIGARETTES & CIGARS,,,,,,,,
0041990050019,65401,BALLYGOWAN STILL 500ML,BARRYS,,,,0,0,34.00,
5099483950235,65455,BALLYGOWAN STILL,BARRYS,,,,0,0,41.00,
,,SPORTSCAP 1L,,,,,,,,
,,,,,,,,,,
5020055100772,42021,BOOST ENERGY 1L,BARRYS,,,,0,0,365.00,
5056079901026,260808,BOOST ENERGY RED BERRY,BARRYS,,,,0,0,1.00,
,,250ML PM 99C,,,,,,,,
5056079901439,270379,BOOST ENERGY RED BERRY,BARRYS,,,,0,0,31.00,
,,250ML PM1.09,,,,,,,,
,,,,,,,,,,
5060466513792,65688,BPM FOCUS 500ML,BARRYS,,,,0,0,63.00,
4000177020210,65631,CAPRI SUN ORANGE 200ML 10,BARRYS,,,,0,0,1.00,
,,PACK,,,,,,,,
,,,,,,,,,,
5449000000439,65269,COCA COLA 1.5L,BARRYS,,,,0,0,108.00,
5449000000446,260693,COCA COLA CANS 330ML 4,BARRYS,,,,0,0,57.00,
,,PACK,,,,,,,,
54491472,65007,COCA COLA CONTOUR BOTTLE,BARRYS,,,,0,0,70.00,
,,500ML,,,,,,,,
,,,,,,,,,,
5449000131843,65265,COCA COLA ZERO 2L,BARRYS,,,,0,0,61.00,
5449000171191,260695,COCA COLA ZERO CANS 330ML,BARRYS,,,,0,0,2.00,
,,4 PACK,,,,,,,,
5449000131836,65264,COCA COLA ZERO CONTOUR,BARRYS,,,,0,0,3.00,
,,BOTTLE 500ML,,,,,,,,
,,,,,,,,,,
5449000053909,65298,DIET COKE 2L,BARRYS,,,,0,0,8.00,
,,,,,,,,,,
5449000053879,63005,DIET COKE CAN 330ML,BARRYS,,,,0,0,36.00,
54491496,65008,DIET COKE CONTOUR BOTTLE,BARRYS,,,,0,0,28.00,
,,500ML,,,,,,,,
,,,,,,,,,,
5449000215734,65340,FANTA LEMON 1.75L,BARRYS,,,,0,0,17.00,
,,,,,,,,,,
5449000010728,65031,FANTA LEMON CAN 330ML,BARRYS,,,,0,0,40.00,
54492493,65003,FANTA LEMON CONTOUR,BARRYS,,,,0,0,54.00,
,,BOTTLE 500ML,,,,,,,,
,,,,,,,,,,
5449000132499,65342,FANTA ORANGE 1.75L,BARRYS,,,,0,0,28.00,
,,,,,,,,,,
5449000011527,63002,FANTA ORANGE CAN 330ML,BARRYS,,,,0,0,28.00,
40822938,65013,FANTA ORANGE CONTOUR,BARRYS,,,,0,0,24.00,
,,BOTTLE 500ML,,,,,,,,
5449000215574,65344,FANTA,BARRYS,,,,0,0,2.00,
,,PINEAPPLE&GRAPEFRUIT 1.75L,,,,,,,,
,,,,,,,,,,
5099195002130,65481,ISHKA SPRING WATER 1L,BARRYS,,,,0,0,30.00,
,,,,,,,,,,
