,Unnamed: 0,Unnamed: 1,CarryOut Express Groody,Full Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,,,,,,,,,,Start Dept: A
1,,,,,,,,,,,,End Dept: Z
110,,,FLAMIN HT130G,,,,,,,,,
111,5000328192871,56315,WALKERS SENSATIONS THAI,WALKERS SENSATIONS THAI SWE CH 150G,BARRYS,,,,0,0,1,
112,,,SWE CH 150G,SWE CH 150G ,,,,,,,,
113,,,,,,,,,24,0,163,
114,C,,CONFECTIONERY,,,,,,,,,
115,7622210304377,260197,CADBURY CARAMEL 4 PACK,CADBURY CARAMEL 4 PACK 148G,BARRYS,,,,0,0,22,
116,,,148G,,,,,,,,,
117,7622210989505,166476,CADBURY CRUNCHIE 4 PACK,CADBURY CRUNCHIE 4 PACK 104.4G,BARRYS,,,,0,0,1,
118,,,104.4G,104.4G ,,,,,,,,
119,,,,,,,,,,,,
120,5034660004004,64123,CADBURY DAIRYMILK 53G,,BARRYS,,,,0,0,25,
121,5034660003892,64119,CADBURY DAIRYMILK,CADBURY DAIRYMILK CARAMELLO 47G,BARRYS,,,,0,0,33,
122,,,CARAMELLO 47G,CARAMELLO 47G ,,,,,,,,
123,,,,,,,,,,,,
124,7622210989192,260499,CADBURY FLAKE 4 PACK 80G,CADBURY FLAKE 4 PACK 80G ,BARRYS,,,,0,0,1,
125,,,,,,,,,,,,
126,7622210989246,260502,CADBURY TWIRL 5 PACK 107.5G,,BARRYS,,,,0,0,18,
127,49814521,66479,CHUPA CHUPS WHEEL DISPLAY,CHUPA CHUPS WHEEL DISPLAY 12G,BARRYS,,,,0,0,29,
128,,,12G,12G ,,,,,,,,
129,,,,,,,,,,,,
130,4009900458023,,EXTRA ICE PEPPERMINT 15G,EXTRA ICE PEPPERMINT 15G ,BARRYS,,,,0,0,30,
131,,,,,,,,,,,,
132,7613034954459,69544,KIT KAT CHUNKY 40G,KIT KAT CHUNKY 40G ,BARRYS,,,,0,0,11,
133,,,,,,,,,,,,
134,5000159304245,66151,M&MS CRISPY 45G,,BARRYS,,,,0,0,2,
135,5011080105443,37108,PANADOL ORIGINAL COMPACK,PANADOL ORIGINAL COMPACK 12s,BARRYS,,,,0,0,3,
136,,,12s,,,,,,,,,
137,Created using Rs-BackOffice v122.10.6 - www.RetailSolutions.ie,,,,,,,,,,Page : 2 / ,15
138,TILL 01 GROO-07/04/2023 00:50:32,,,,,,,,,,,
139,Barcode,Stock Code,Description,,Supplier,,Location,,On Order,Reserved,On Hand,
140,42070047,136524,WRIGLEYS AIRWAVES,WRIGLEYS AIRWAVES BLACKCURRANT 14G,MANGANS,,,,0,0,59,
141,,,BLACKCURRANT 14G,,,,,,,,,
142,42070719,70488,WRIGLEYS EX COOL BREEZE,WRIGLEYS EX COOL BREEZE 10PCE 25G,BARRYS,,,,0,0,31,
143,,,10PCE 25G,,,,,,,,,
144,42211464,70224,WRIGLEYS EX ICE PEPPERMINT,WRIGLEYS EX ICE PEPPERMINT 15G,BARRYS,,,,0,0,101,
145,,,15G,,,,,,,,,
146,42211471,70223,WRIGLEYS EXTRA ICE WHITE,WRIGLEYS EXTRA ICE WHITE 15G,BARRYS,,,,0,0,67,
147,,,15G,,,,,,,,,
